央视,#genre#
青海卫视,http://106.115.25.96:9901/tsfile/live/0140_1.m3u8?key=txiptv
宁夏卫视,http://106.115.25.96:9901/tsfile/live/0112_1.m3u8?key=txiptv
西藏卫视,http://106.115.25.96:9901/tsfile/live/0111_1.m3u8?key=txiptv
新疆卫视,http://106.115.25.96:9901/tsfile/live/0110_1.m3u8?key=txiptv
甘肃卫视,http://106.115.25.96:9901/tsfile/live/0141_1.m3u8?key=txiptv
少儿,#genre#
卡酷动画,http://iptvcyp.top:9901/tsfile/live/1048_1.m3u8?key=txiptv#http://175.13.203.202:9901/tsfile/live/1008_1.m3u8?key=txiptv#http://110.52.99.109:9901/tsfile/live/1048_1.m3u8?key=txiptv
金鹰卡通,http://iptvcyp.top:9901/tsfile/live/1049_1.m3u8?key=txiptv#http://175.13.203.202:9901/tsfile/live/1004_1.m3u8?key=txiptv#http://110.52.99.109:9901/tsfile/live/1049_1.m3u8?key=txiptv
优漫卡通,http://iptvcyp.top:9901/tsfile/live/1047_1.m3u8?key=txiptv#http://175.13.203.202:9901/tsfile/live/1009_1.m3u8?key=txiptv#http://110.52.99.109:9901/tsfile/live/1047_1.m3u8?key=txiptv
哈哈炫动,http://iptvcyp.top:9901/tsfile/live/1046_1.m3u8?key=txiptv#http://110.52.99.109:9901/tsfile/live/1046_1.m3u8?key=txiptv
嘉佳卡通,http://iptvcyp.top:9901/tsfile/live/1045_1.m3u8?key=txiptv#http://110.52.99.109:9901/tsfile/live/1045_1.m3u8?key=txiptv
湖南地方,#genre#
湖南卫视,http://222.241.154.37:9901/tsfile/live/23019_1.m3u8
湖南经视,http://222.241.154.37:9901/tsfile/live/23020_1.m3u8
湖南都市,http://222.241.154.37:9901/tsfile/live/23021_1.m3u8
湖南娱乐,http://222.241.154.37:9901/tsfile/live/23023_1.m3u8
湖南电影,http://222.241.154.37:9901/tsfile/live/23025_1.m3u8
湖南电视剧,http://222.241.154.37:9901/tsfile/live/23026_1.m3u8
河北地方,#genre#
河北卫视,http://106.115.25.96:9901/tsfile/live/0117_1.m3u8
河北经济,http://106.115.25.96:9901/tsfile/live/1005_1.m3u8
河北都市,http://106.115.25.96:9901/tsfile/live/1006_1.m3u8
河北影视,http://106.115.25.96:9901/tsfile/live/1007_1.m3u8
河北少儿科教,http://106.115.25.96:9901/tsfile/live/1008_1.m3u8
河北公共,http://106.115.25.96:9901/tsfile/live/1009_1.m3u8
河北农民,http://106.115.25.96:9901/tsfile/live/1010_1.m3u8


